cpu_5sec_id,cpu_time,cpu_avg
1,09:18:24,1.41
13,09:19:25,1.44
25,08:19:46,2.27
37,08:20:47,1.26
49,08:21:47,0.0
61,08:22:47,0.49
73,08:23:52,1.35
85,08:24:52,1.31
97,08:25:52,1.25
109,08:26:53,1.58
121,08:27:53,2.1
133,08:28:53,1.89
145,08:29:54,1.39
157,08:30:54,4.88
169,08:31:56,1.5
181,08:32:56,1.25
193,08:33:57,1.17
205,08:34:57,1.01
217,08:35:57,0.88
229,08:36:57,0.0
241,08:37:57,0.08
253,08:39:02,2.25
265,08:40:02,0.29
277,08:41:04,4.32
289,08:42:04,0.0
301,08:43:04,0.58
313,08:44:04,1.63
325,08:45:04,1.54
337,08:46:05,1.59
349,08:47:05,1.51
361,08:48:05,1.39
373,08:49:06,1.5
385,08:50:06,1.46
397,08:51:06,1.27
409,08:52:07,1.4
421,08:53:07,1.16
433,08:54:08,1.07
445,08:55:08,1.07
457,08:56:08,0.0
469,08:57:08,0.0
481,08:58:08,0.0
493,08:59:12,1.47
505,09:00:12,1.28
517,09:01:12,1.36
529,09:02:13,1.23
541,09:03:13,1.36
553,09:04:14,1.29
565,09:05:14,1.31
577,09:06:14,1.28
589,09:07:15,1.32
601,09:08:15,1.15
613,09:09:15,1.21
625,09:10:16,1.07
637,09:11:16,0.95
649,09:12:16,0.0
661,09:13:16,0.0
673,09:14:16,0.54
685,09:15:18,1.25
697,09:16:18,1.42
709,09:17:18,1.38
